奶茶店名称,地址,纬度,经度
书亦烧仙草(万科未来中心店),汉阳大道408号五里墩B1-1地块商业裙房万科未来中心B1层B1-24号,30.560068,114.250073
书亦烧仙草(蔡甸常福店),常福工业园福兴小区二期四号楼D-2附2,30.438572,114.044761
书亦烧仙草(紫润明园店),长丰村紫润明园北区38栋一层商网5,30.627402,114.21822
书亦烧仙草(蔡甸广场店),蔡甸街茂源街27附8,30.579982,114.047603
书亦烧仙草(京东大道店),余泊北路临99号阳逻港华中国际产业园d_s4厂房/单元1层7号,30.736002,114.583742
书亦烧仙草(沿海赛洛城店),沿海赛洛城24栋一单元1层02室,30.647357,114.161614
书亦烧仙草(广宏汇店),狮子山街芷岸龙庭4-2号商铺栋1层5室、6室、23室、24室,30.486486,114.340624
书亦烧仙草(阳逻军安北路店),阳逻街军安路16号其中一间,30.663287,114.58115
书亦烧仙草(武汉金地澜菲溪岸店),芳草六路金地澜菲溪岸E19栋103,30.518937,114.218487
书亦烧仙草(阳光明珠店),阳逻开发区阳光北路613号,30.674627,114.57979
书亦烧仙草(武汉蔡甸奓山广场店),奓山路联富路28号,30.456889,114.022863
书亦烧仙草(横店中百店),横店大街蓝色星城三期今古城3栋1层3号商铺,30.8049,114.300596
书亦烧仙草(生物城店),高新大道666号光谷生物城创新基地E区s6-103号商铺,30.487872,114.486799
书亦烧仙草(长江存储店),未来三路88号国家存储器基地项目一期生活馆三楼C-3-017单元,30.469382,114.61661
书亦烧仙草(惠民苑店),永丰街黄金口五村特1号惠民苑三期经济适用房33栋1-2层3-28室,30.591674,114.176745
书亦烧仙草(百尚购物中心店),滠口街滠口村汉北水晶城12栋1-3层1室,30.723646,114.356317
书亦烧仙草(中南拂晓城店),横店街道中南拂晓城一期第S2幢/单元1层商14号,30.767456,114.27606
CHAGEE霸王茶姬(江汉路Markmall店),京汉大道江汉路206号Markmall店（循礼门轻轨站J出入口）,30.590734,114.293272
CHAGEE霸王茶姬(江夏中百广场店),纸坊街文华路37号中百广场,30.370813,114.327791
CHAGEE霸王茶姬(武汉荟聚中心店),长宜路1号荟聚中心5号门2楼竹叶海中庭（迪卡侬对面）,30.622602,114.172927
CHAGEE霸王茶姬(黄陂广场店),"黄陂广场E1-137,138号铺",30.886868,114.381465
CHAGEE霸王茶姬(江汉路大洋百货店),中山大道756号大洋百货1楼A-12,30.583489,114.297168
CHAGEE霸王茶姬(happy站台店),中山大道818号负一层Happy站台C133号铺,30.58501,114.297923
CHAGEE霸王茶姬(武汉摩尔城店),龙阳大道特6号武汉摩尔城1层L1B-027-2号商铺,30.56478,114.214936
CHAGEE霸王茶姬(武汉天地店),中山大道武汉天地A4地块4号楼4-1-8单元1层Z31号,30.613484,114.316872
CHAGEE霸王茶姬(经开万达店),经济技术开发区万达广场F1-1005A,30.513259,114.180855
CHAGEE霸王茶姬(中商广场店),中南路9号中商广场一楼侧面1F-003铺位,30.543305,114.338256
CHAGEE霸王茶姬(汉口k11店),解放大道武汉K11购物艺术中心I馆负一层美食广场B110-B111-1号商铺,30.584717,114.270233
CHAGEE霸王茶姬(光谷天地店),光谷天地一层329-330号铺,30.483174,114.417246
